DATE,____-5,____-4,____-3,____-2,____-1,_____0,POSITI,____+1,____DIF
2020-07-21,-0.005,0.0014,-0.0004,-0.0033,0.0064,-0.0021,SELL,1.1006,-0.0031
2020-07-20,-0.0101,-0.005,0.0014,-0.0004,-0.0033,0.0064,SELL,1.1037,-0.0021
2020-07-17,0.0001,-0.0101,-0.005,0.0014,-0.0004,-0.0033,BUY,1.1058,0.0064
2020-07-16,0.0042,0.0001,-0.0101,-0.005,0.0014,-0.0004,SELL,1.0994,-0.0033
2020-07-15,0.0003,0.0042,0.0001,-0.0101,-0.005,0.0014,NOTRAD,1.1027,-0.0004
2020-07-14,0.0079,0.0003,0.0042,0.0001,-0.0101,-0.005,BUY,1.1031,0.0014
2020-07-13,-0.005,0.0079,0.0003,0.0042,0.0001,-0.0101,SELL,1.1017,-0.005
2020-07-10,0.0001,-0.005,0.0079,0.0003,0.0042,0.0001,SELL,1.1067,-0.0101
2020-07-09,0.0004,0.0001,-0.005,0.0079,0.0003,0.0042,NOTRAD,1.1168,0.0001
2020-07-08,0.0057,0.0004,0.0001,-0.005,0.0079,0.0003,BUY,1.1167,0.0042
2020-07-07,0.009,0.0057,0.0004,0.0001,-0.005,0.0079,NOTRAD,1.1125,0.0003
2020-07-06,-0.0051,0.009,0.0057,0.0004,0.0001,-0.005,BUY,1.1122,0.0079
2020-07-03,-0.0072,-0.0051,0.009,0.0057,0.0004,0.0001,SELL,1.1043,-0.005
2020-07-02,0.0036,-0.0072,-0.0051,0.009,0.0057,0.0004,NOTRAD,1.1093,0.0001
2020-07-01,-0.0039,0.0036,-0.0072,-0.0051,0.009,0.0057,NOTRAD,1.1092,0.0004
2020-06-30,-0.0007,-0.0039,0.0036,-0.0072,-0.0051,0.009,BUY,1.1088,0.0057
2020-06-29,0.003,-0.0007,-0.0039,0.0036,-0.0072,-0.0051,BUY,1.1031,0.009
2020-06-26,-0.0042,0.003,-0.0007,-0.0039,0.0036,-0.0072,SELL,1.0941,-0.0051
2020-06-25,-0.0082,-0.0042,0.003,-0.0007,-0.0039,0.0036,SELL,1.0992,-0.0072
2020-06-24,0.0008,-0.0082,-0.0042,0.003,-0.0007,-0.0039,BUY,1.1064,0.0036
2020-06-23,0.0016,0.0008,-0.0082,-0.0042,0.003,-0.0007,SELL,1.1028,-0.0039
2020-06-22,0.0009,0.0016,0.0008,-0.0082,-0.0042,0.003,NOTRAD,1.1067,-0.0007
2020-06-19,-0.0003,0.0009,0.0016,0.0008,-0.0082,-0.0042,BUY,1.1074,0.003
2020-06-18,-0.006,-0.0003,0.0009,0.0016,0.0008,-0.0082,SELL,1.1044,-0.0042
2020-06-17,-0.0027,-0.006,-0.0003,0.0009,0.0016,0.0008,SELL,1.1086,-0.0082
2020-06-16,-0.0048,-0.0027,-0.006,-0.0003,0.0009,0.0016,NOTRAD,1.1168,0.0008
2020-06-15,0.0055,-0.0048,-0.0027,-0.006,-0.0003,0.0009,BUY,1.1160,0.0016
2020-06-12,0.0088,0.0055,-0.0048,-0.0027,-0.006,-0.0003,NOTRAD,1.1144,0.0009
2020-06-11,-0.0059,0.0088,0.0055,-0.0048,-0.0027,-0.006,NOTRAD,1.1135,-0.0003
2020-06-10,-0.0041,-0.0059,0.0088,0.0055,-0.0048,-0.0027,SELL,1.1138,-0.006
2020-06-09,0.0018,-0.0041,-0.0059,0.0088,0.0055,-0.0048,SELL,1.1198,-0.0027
2020-06-08,0.0098,0.0018,-0.0041,-0.0059,0.0088,0.0055,SELL,1.1225,-0.0048
2020-06-05,-0.0008,0.0098,0.0018,-0.0041,-0.0059,0.0088,BUY,1.1273,0.0055
2020-06-04,-0.0011,-0.0008,0.0098,0.0018,-0.0041,-0.0059,BUY,1.1218,0.0088
2020-06-03,-0.0098,-0.0011,-0.0008,0.0098,0.0018,-0.0041,SELL,1.1130,-0.0059
2020-06-02,0.0044,-0.0098,-0.0011,-0.0008,0.0098,0.0018,SELL,1.1189,-0.0041
2020-06-01,0.0031,0.0044,-0.0098,-0.0011,-0.0008,0.0098,BUY,1.1230,0.0018
2020-05-29,-0.0005,0.0031,0.0044,-0.0098,-0.0011,-0.0008,BUY,1.1212,0.0098
2020-05-28,0.0017,-0.0005,0.0031,0.0044,-0.0098,-0.0011,NOTRAD,1.1114,-0.0008
2020-05-27,-0.0067,0.0017,-0.0005,0.0031,0.0044,-0.0098,SELL,1.1122,-0.0011
2020-05-26,0.0036,-0.0067,0.0017,-0.0005,0.0031,0.0044,SELL,1.1133,-0.0098
2020-05-25,-0.0007,0.0036,-0.0067,0.0017,-0.0005,0.0031,BUY,1.1231,0.0044
2020-05-22,-0.0133,-0.0007,0.0036,-0.0067,0.0017,-0.0005,BUY,1.1187,0.0031
2020-05-21,0.001,-0.0133,-0.0007,0.0036,-0.0067,0.0017,NOTRAD,1.1156,-0.0005
2020-05-20,0.0002,0.001,-0.0133,-0.0007,0.0036,-0.0067,BUY,1.1161,0.0017
